what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.http.registry,1.1.1.R36x_v20101103,"org.eclipse.equinox.http.registry",1422490855385
started,bundle,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser",1422490855393
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422490855558
started,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.200.v20100503,"org.eclipse.equinox.jsp.jasper.registry",1422490855864
started,bundle,org.eclipse.equinox.jsp.jasper,1.0.201.R36x_v20101103,"org.eclipse.equinox.jsp.jasper",1422490855878
started,bundle,org.eclipse.help.webapp,3.5.3.r36_20101130,"org.eclipse.help.webapp",1422490856290
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422490903686
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422490903839
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422490911006
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422490911129
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422490915079
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1422490916869
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1422490916883
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1422490916893
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422490972597
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422490984357
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1422490984379
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.linkWithEditor",1422490985467
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.collapseAll",1422490986523
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422490990301
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1422490994924
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.gnu.ui",1422490995094
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422491019715
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1422491019738
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422491027849
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422491039461
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1422491039482
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422491046368
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422491047897
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1422491047974
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1422491048514
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1422491048518
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1422491048638
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1422491048646
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.1.201102110609,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1422491048656
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201102110609,"org.eclipse.cdt.debug.ui.memory.search",1422491048664
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1422491048676
